addr,clCd,clCdNm,cmdcGdrCnt,cmdcIntnCnt,cmdcResdntCnt,cmdcSdrCnt,detyGdrCnt,detyIntnCnt,detyResdntCnt,detySdrCnt,drTotCnt,emdongNm,estbDd,hospUrl,mdeptGdrCnt,mdeptIntnCnt,mdeptResdntCnt,mdeptSdrCnt,pnursCnt,postNo,sgguCd,sgguCdNm,sidoCd,sidoCdNm,telno,XPos,YPos,yadmNm,ykiho
인천광역시 부평구 동수로 56 (부평동),01,상급종합,0,0,0,0,1,0,0,2,331,부평동,19810806,http://www.cmcism.or.kr/,0,23,71,234,0,21431,220003,인천부평구,220000,인천,032-1544-9004,126.7248987,37.4848309,가톨릭대학교인천성모병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz
강원도 강릉시 사천면 방동길 38 (),01,상급종합,0,0,0,0,0,0,0,2,198,,19960730,http://www.gnah.co.kr,3,0,34,159,0,25440,320100,강릉시,320000,강원,033-610-3114,128.8578411,37.8184325,강릉아산병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz
서울특별시 종로구 새문안로 29 (평동),01,상급종합,0,0,0,0,3,0,0,4,410,,19790324,http://www.kbsmc.co.kr,4,40,119,240,0,03181,110016,종로구,110000,서울,02-2001-2001,126.9677500,37.5684083,강북삼성병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz
서울특별시 광진구 능동로 120-1 (화양동),01,상급종합,0,0,0,0,0,0,0,3,404,,19821116,http://www.kuh.ac.kr,2,33,139,227,0,05030,110023,광진구,110000,서울,1588-1533,127.0718276,37.5403764,건국대학교병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz
"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",01,상급종합,0,0,0,0,0,0,0,1,487,,19100907,http://knumc.knu.ac.kr,4,74,189,219,0,41944,230006,대구중구,230000,대구,053-200-5114,128.6047030,35.8662525,경북대학교병원,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz
경상남도 진주시 강남로 79 (칠암동),01,상급종합,0,0,0,0,0,0,0,2,329,,19861013,http://www.gnuh.co.kr/,2,31,111,183,0,52727,380500,진주시,380000,경남,055-750-8000,128.0956717,35.1763252,경상국립대학교병원,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDQjJDgz
서울특별시 동대문구 경희대로 23 (회기동),01,상급종합,0,0,0,0,0,0,0,0,461,,19711005,http://www.khuh.or.kr/,2,58,162,239,0,02447,110007,동대문구,110000,서울,02-958-8114,127.0518520,37.5941195,경희대학교병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz
대구광역시 달서구 달구벌대로 1035 (신당동),01,상급종합,0,0,0,0,3,0,0,1,407,,19680406,http://www.dsmc.or.kr/,1,44,133,225,0,42601,230007,대구달서구,230000,대구,1577-6622,128.4801315,35.8538856,계명대학교동산병원,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNjEjJDEjJDQjJDgz
서울특별시 구로구 구로동로 148 고려대부속구로병원 (구로동),01,상급종합,0,0,0,0,0,6,17,10,553,,19830831,http://guro.kumc.or.kr/main/index.do,1,35,161,323,0,08308,110005,구로구,110000,서울,02-2626-1114,126.8848701,37.4920520,고려대학교의과대학부속구로병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz
경기도 안산시 단원구 적금로 123 (고잔동),01,상급종합,0,0,0,0,0,0,0,4,389,,19860101,http://ansan.kumc.or.kr/main/index.do,3,27,110,245,0,15355,311101,안산단원구,310000,경기,031-1577-7516,126.8249033,37.3185144,고려대학교의과대학부속안산병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz
